,name,address,wifi
190,五福門市,800高雄市新興區五福二路262號,Y
191,明誠門市,807高雄市三民區明誠二路72號,Y
192,青年門市,802高雄市苓雅區成功一路221號1F,
193,建國門市,802高雄市苓雅區大順三路115號,Y
194,高榮門市,813高雄市左營區榮總路115號A2,Y
195,高遠門市,802高雄市苓雅區三多四路21號,Y
196,高鐵門市,807高雄市三民區建國二路318號3樓,Y
197,愛河門市,807高雄市前金區河東路356號,N
198,裕誠門市,813高雄市左營區裕誠路396.396-1號,Y
199,夢時代門市,806高雄市前鎮區成功二路2號B1,
200,左營門市,高雄市左營區高鐵路105號2F,N
201,墾丁門市,946屏東縣恆春鎮墾丁路14號,Y
202,屏東門市,900屏東縣屏東市中正路72號,Y
203,海生館門市,944屏東縣車城鄉後灣村後灣路2號,
204,台東門市,950台東縣台東市博愛路478號1樓,N
205,花蓮門市,970花蓮縣花蓮市中山路585號,Y
206,傳藝門市,268宜蘭縣五結鄉五濱路二段201號,N
207,宜蘭門市,260宜蘭縣宜蘭市舊城東路56號,N
208,清境門市,南投縣仁愛鄉定遠新村26-1號1樓,Y
209,日月潭門市,555南投縣魚池鄉中山路101號,Y
210,馬公門市,880澎湖縣馬公市三民路2號,Y
